sent_at,destination,price
2026-09-01T05:14:11.174427+00:00,LHR,706
2026-09-01T05:14:11.174427+00:00,CDG,588
2026-09-01T05:14:11.174427+00:00,DUB,549
2026-09-01T05:14:11.174427+00:00,LIS,600
2026-09-01T05:14:11.174427+00:00,WAW,691
2026-09-02T13:07:27.992841+00:00,BCN,573
2026-09-02T13:07:27.992841+00:00,BER,669
2026-09-03T13:07:31.805563+00:00,BCN,569
2026-09-04T13:07:06.184320+00:00,AMS,562
2026-09-04T13:07:06.184320+00:00,PRG,779
2026-09-06T13:06:50.065981+00:00,MAD,587
2026-09-08T13:09:03.413957+00:00,LHR,673
2026-09-08T13:09:03.413957+00:00,CDG,589
2026-09-08T13:09:03.413957+00:00,LIS,535
2026-09-09T13:08:29.372791+00:00,LHR,671
2026-09-09T13:08:29.372791+00:00,PRG,718
2026-09-10T13:07:58.994689+00:00,CDG,569
2026-09-10T13:07:58.994689+00:00,ZRH,799
2026-09-11T13:07:33.810192+00:00,AMS,586
2026-09-11T13:07:33.810192+00:00,VIE,785
